image_id,iou_v3,iou_historical
water_body_712,0.8971723377441714,0.8951573327051803
water_body_7136,0.8066852060904761,0.7949523872943997
water_body_7137,0.8410549909690336,0.8367103186452246
water_body_7143,0.7697398459164988,0.7029949652180876
water_body_7150,0.8436552753986372,0.7901595177574775
water_body_7159,0.8743749395102752,0.8775516816797356
water_body_7162,0.8060082559832017,0.7905379256965944
water_body_7165,0.6663552920152709,0.6710046850598647
water_body_7166,0.8078604065955897,0.8090829675714833
water_body_7168,0.7736690158784071,0.7336484386966892
water_body_7173,0.21464260521984482,0.253099368284702
water_body_7174,0.8126263777472225,0.8093050588732738
water_body_7180,0.8072822753655615,0.759710660623612
water_body_7181,0.728700881342841,0.7317202762905137
water_body_7187,0.7238208107773325,0.7461384175207458
water_body_7192,0.8964535960696931,0.8860913434232067
water_body_720,0.885555142963238,0.8434912547155945
water_body_7202,1.0,1.0
water_body_7207,0.851329912914332,0.8434622467771639
water_body_722,0.8875402012656914,0.8876346313173157
water_body_7221,0.7318726263511539,0.7448313075088038
water_body_7226,0.8759660789387619,0.8562379643544894
water_body_7228,0.7918769169882259,0.7870860684740965
water_body_7245,0.9510921057618211,0.944250490944796
water_body_725,0.9251727082201351,0.9222649124849612
water_body_7251,0.8594408050784546,0.8621435324203031
water_body_7256,0.24790989133021338,0.2661294081697129
water_body_7267,0.8227587343441002,0.8163491988467174
water_body_7292,1.0,1.0
water_body_7296,0.8601193039039933,0.8490532053189657
water_body_7305,0.8412114483563217,0.8219619600861988
water_body_7315,0.7018203600785384,0.7263024856059542
water_body_7317,0.7798808934063701,0.7654388799138395
water_body_7333,0.5591359685053268,0.5414082336941569
water_body_7346,0.8104613280778667,0.8234327499794594
water_body_7361,0.2842734114361083,0.2948068579292418
water_body_7364,0.5059564607199973,0.4922214561913611
water_body_7379,0.7700920523068782,0.7299786401841938
water_body_739,0.6580372048652516,0.5772029996582159
water_body_7391,0.7479010311115071,0.731709467651273
water_body_7393,0.8189953810623557,0.819696199672483
water_body_7407,0.7016032900226487,0.702248635675305
water_body_7439,0.8256036978791575,0.8256380768660039
water_body_7510,0.5502645502645502,0.5616139585605234
water_body_7511,0.6870782056371576,0.6858612343686971
water_body_7516,0.7072651065316102,0.7223551440757308
water_body_7519,0.7144342196144642,0.6559253009023585
water_body_752,0.8900938271604938,0.8859510269488577
water_body_7523,0.5890149738972772,0.5650040883074408
water_body_7535,0.7933478735005453,0.8048211787495068
water_body_7552,0.6503631708209228,0.6165630007876796
water_body_7553,0.5212976022566995,0.5302174919018973
water_body_7559,0.860924609659572,0.8450761097181921
water_body_7560,0.7275447088879925,0.7389471408496379
water_body_7569,0.7963688803431445,0.7891889902855461
water_body_7586,0.2843224699828473,0.3167747056488953
water_body_7594,0.7531461761858664,0.7132784958871915
water_body_7609,0.7181041275228802,0.6860522122809167
water_body_7615,0.6519660863193887,0.6446302845998744
water_body_7617,0.6213703458911655,0.626736277421209
water_body_7622,0.695782546049301,0.6916666666666667
water_body_7631,0.7816021931160524,0.7696373859466011
water_body_7633,0.8800937303537749,0.8836345535304028
water_body_7636,0.7255083729247768,0.7634834488550193
water_body_7646,0.3087971274685817,0.2584905660377358
water_body_7648,0.8050300042044108,0.787786607855812
water_body_7684,0.4096558317399618,0.3464519976147883
water_body_7705,0.4491188175099488,0.4616216216216216
water_body_7707,0.7348386162975828,0.6839830996735164
water_body_7714,0.664669357904455,0.5676199612286907
water_body_7715,0.763671201907834,0.7336948124007923
water_body_7717,0.8017485045684611,0.7943839391156017
water_body_7724,0.9520017943254457,0.949810816826174
water_body_7726,0.8485558157689306,0.5723553945317437
water_body_7741,0.3905434266729948,0.3936860159725572
water_body_7746,0.8914405010438413,0.8867588292472189
water_body_7756,0.9200480129426193,0.9095894623545692
water_body_7776,0.6745756172839507,0.677490871152843
water_body_7777,0.4703611800385994,0.1235758106923751
water_body_778,1.0,1.0
water_body_7783,0.8423000284656988,0.8007220216606499
water_body_7789,0.5109701295268305,0.5205867215645908
water_body_7791,0.5358504958047292,0.5788437444066583
water_body_7795,0.5144183773216031,0.4478283440041529
water_body_7802,0.8200698885738775,0.8183589235595179
water_body_7803,0.8464506793150575,0.8335755813953488
water_body_7813,0.5850537244959556,0.5495942290351669
water_body_7816,0.5789045383411581,0.5956741889104207
water_body_7844,0.4626038781163435,0.1653979238754325
water_body_7854,0.7443173894854274,0.7429069362147089
water_body_7866,0.7445991358617379,0.7098062243100411
water_body_7885,0.7812464780795673,0.7679431323091034
water_body_7931,0.9012247494830603,0.9048381928868952
water_body_794,0.07245773928828045,0.1090465781066083
water_body_7943,0.6993779357623461,0.6932943865887732
water_body_7946,0.7694915254237288,0.7642575892290105
water_body_7954,0.7199691000386249,0.7108085808580858
water_body_7958,0.8201489890031927,0.8045438153624234
water_body_7962,0.7261223260018078,0.710015408320493
water_body_7970,0.42521166509877706,0.372020725388601
water_body_7993,0.8776169000712082,0.8749320411298901
water_body_7994,0.7082614274967919,0.7095678348742206
water_body_800,0.8841525756979945,0.8778409090909091
water_body_8001,0.7432150313152401,0.7367994816974409
water_body_8005,0.6333782418322668,0.6413692879057
water_body_8013,0.7061680427391938,0.657035848047084
water_body_8018,0.6097695598178556,0.6055620568596407
water_body_8025,0.879396052335061,0.8593424664801135
water_body_8034,0.5605333104690046,0.5261896932400056
water_body_8035,0.8252765932066919,0.8287250155920525
water_body_8044,0.9147729695160947,0.9110294431861886
water_body_8045,0.7891005102646256,0.7943412539876569
water_body_8048,0.5428550953131719,0.5356255178127589
water_body_8057,0.9742355605889015,0.9710642471799902
water_body_8094,0.9013646571083088,0.8961351813706665
water_body_8120,0.4886601535240754,0.5712114633087277
water_body_8131,0.7360347138025652,0.6998974358974359
water_body_8139,0.6506539442296619,0.6488240684178375
water_body_8159,0.8766662267388148,0.8661375661375661
water_body_816,0.8472681958020172,0.871695241147252
water_body_8165,0.8587697551905795,0.8483372650483221
water_body_8177,0.7495264623955432,0.7300432774484489
water_body_8201,0.6688549748486657,0.6701262757308424
water_body_821,0.9276921752603943,0.9258426966292136
water_body_8215,0.6640820532953821,0.6468471792979381
water_body_8224,0.5320261437908497,0.5380790369013347
water_body_823,0.9663551306512668,0.9644749885374267
water_body_8236,0.6774024155434973,0.6649700054535539
water_body_8240,0.5912557193695984,0.5773745997865528
water_body_8244,0.7234359341445956,0.722698885192319
water_body_8248,0.5234076433121019,0.509930047439093
water_body_8258,0.5949430041675102,0.578299912063487
water_body_8276,0.6252580221429912,0.6315126050420168
water_body_8286,0.4765881300328064,0.3849924585218703
water_body_8294,0.28642714570858285,0.2581641659311562
water_body_8319,0.8987253157541639,0.9019693782141188
water_body_833,0.6604096732205248,0.7583311858291852
water_body_8330,0.8089477288290344,0.7895069000336588
water_body_8347,0.7326719217178581,0.7229473684210527
water_body_8349,0.7738489660687764,0.7760467380720545
water_body_8372,0.5712436430883033,0.5388641634802231
water_body_838,0.9347192648212485,0.933977545662738
water_body_8384,0.5681298413869421,0.5210656226061793
water_body_8386,0.8539257865017478,0.8312276197554219
water_body_8387,0.5501716901945822,0.5494218575158523
water_body_8389,0.6941634422637639,0.5884811163578457
water_body_8392,0.2389105058365759,0.2340966921119593
water_body_8394,0.18351324828263002,0.1672394043528064
water_body_8396,0.7535117056856188,0.7473958818596851
water_body_8398,0.556869036561682,0.5608700771177959
water_body_8402,0.41717195502443044,0.3285120417768921
water_body_8407,0.53738006766125,0.5220630372492837
water_body_8410,0.5324133965789852,0.505872931126535
water_body_8415,0.8043281419775443,0.7964562503697569
water_body_842,0.9273205036681501,0.9265720081135904
water_body_8424,0.6498562562132244,0.6292287625232426
water_body_8434,0.29952690715552927,0.2369073186849496
water_body_8443,0.7082656414708253,0.6944243392317867
water_body_8451,0.7938584020471993,0.789289871944121
water_body_8460,0.8421920821114369,0.8263935733120745
water_body_8469,0.42814726840855105,0.3948845913911416
water_body_8475,0.7174045801526717,0.731302822516345
water_body_8482,0.27432311811960725,0.3853979652902453
water_body_8487,0.6704093971324927,0.6529215358931553
water_body_8498,0.7943321055401037,0.78310997978588
water_body_8512,0.6040195545898968,0.6054996405463695
water_body_8516,0.862001117942985,0.857824129785622
water_body_8535,0.8767824749133161,0.8726609578179512
water_body_8538,0.7419354838709677,0.7522249911000356
water_body_8540,0.6305285007185055,0.6141326911899029
water_body_8562,0.8204775724250293,0.8120864964918644
water_body_857,0.45777292576419215,0.4461608560174026
water_body_8571,0.7283767269702396,0.7196904227769858
water_body_8573,0.6944971537001897,0.7074283915643689
water_body_8613,0.829368029739777,0.8078474514118078
water_body_8620,0.762557381411749,0.9057370253689272
water_body_8623,0.6026928210782891,0.5853644314868804
water_body_8643,0.7871395197426372,0.7885069942263727
water_body_8655,0.6214733770970094,0.6224375258462811
water_body_8669,0.8068595463477265,0.7823752094873212
water_body_8671,0.7988813631321833,0.7790432801822323
water_body_8675,0.7494439535663142,0.7686755597903764
water_body_8677,0.7787228297556366,0.7818354602226446
water_body_8681,0.6876936813908293,0.683371178116914
water_body_8690,0.6658868566567419,0.6391890132777922
water_body_8709,0.9151568013321175,0.9100723645609232
water_body_8725,0.6785613049657937,0.6127466744627978
water_body_8730,0.8912353099488651,0.8836609732516919
water_body_8743,0.7740853658536585,0.7676322808758762
water_body_8749,0.8415233639736116,0.826915844332611
water_body_8759,0.3370282826636238,0.648848447232505
water_body_8777,0.8040894857962048,0.8012248601239982
water_body_8781,0.7724801188080866,0.7586454040494535
water_body_8804,0.7592277440744921,0.7790237799540807
water_body_8814,0.9120018607536052,0.9059379112797088
water_body_8828,0.7106038291605302,0.7027972027972028
water_body_8834,0.9079242480505013,0.904824171545689
water_body_8847,0.6874559903430238,0.6702058068736476
water_body_8885,0.6257075041080884,0.620166793025019
water_body_8891,0.6338308457711442,0.5993548387096774
water_body_8895,0.7796571428571428,0.798941798941799
water_body_8922,0.7200834439597952,0.6971000935453695
water_body_8923,0.6807168096920747,0.7303543913713405
water_body_8934,0.4978412487545666,0.5078398195149464
water_body_8937,0.2555669559912371,0.2582513996044899
water_body_8940,0.8518710773441556,0.8819688109161793
water_body_8948,0.6773562495633341,0.6773228132226908
water_body_8954,0.7422235023041475,0.7480781902042609
water_body_897,0.7507456546333436,0.7529100798048086
water_body_899,0.9410050692531833,0.938096001282154
water_body_902,0.8454199328107502,0.8456964006259781
water_body_911,0.8651143411163282,0.8223077981020492
water_body_913,0.7228631895139268,0.7284456484930579
water_body_922,0.9312515634119903,0.9295467872999916
water_body_95,0.7360193542383922,0.7408306112925805
water_body_953,0.8888426355282016,0.86432863655201
water_body_96,0.48619169180784405,0.3963239031001185
water_body_97,0.8478341814571181,0.8510479970234404
water_body_973,0.8426858513189448,0.8446963562753036
water_body_982,0.9232570813547601,0.917049620690059
water_body_984,0.8574376916424247,0.8452009909693918
water_body_989,0.7488493889858753,0.7245012156060665
water_body_999,0.6444858073522569,0.7054979930925044
